Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Plácido de Castro (AC),54088,62829,68906,83038,76160,90373,107307,119378,132633,152724,178793,199657.0,237006.0,252968.0,242578.0,241231.0,262261.0,276129.0,266954.0
Porto Walter (AC),16533,19565,17920,19706,22804,33937,41812,47912,60318,60554,67807,82060.0,96499.0,97729.0,107298.0,112711.0,112166.0,118375.0,130247.0
Rio Branco (AC),1840093,2047971,2377292,2696961,2936363,3406220,3988385,4681268,5125851,5516687,6270619,6807581.0,8174771.0,8258089.0,7880432.0,8153153.0,8911060.0,9130749.0,9579592.0
Rodrigues Alves (AC),26749,31424,32610,39158,42592,55399,65175,80759,124221,114058,109581,152053.0,171505.0,166470.0,183719.0,185008.0,187068.0,190863.0,202691.0
Santa Rosa do Purus (AC),9012,11411,12231,15598,17222,22651,28788,30990,35855,35164,37657,45136.0,53395.0,57988.0,62132.0,71271.0,71761.0,79725.0,84137.0
Senador Guiomard (AC),72770,87695,95070,105492,119478,141266,152766,163787,184620,228063,256395,290838.0,325673.0,337471.0,325553.0,359782.0,371144.0,360656.0,357580.0
Sena Madureira (AC),125410,145707,126488,140201,141962,163532,205498,225593,264528,282261,333671,426881.0,478781.0,462253.0,476246.0,500512.0,520298.0,539331.0,580935.0
Tarauacá (AC),78553,89296,100169,118968,126866,149597,176203,193953,227963,264412,292548,335520.0,387146.0,398537.0,424497.0,470854.0,487948.0,482624.0,519834.0
Xapuri (AC),42070,55372,57394,62366,66514,82251,86555,96912,117260,130867,147390,168708.0,196802.0,202844.0,220428.0,231302.0,250235.0,274589.0,292045.0
Porto Acre (AC),40455,49309,47999,51953,60294,73632,89846,101684,114661,124816,143464,172519.0,203206.0,211744.0,220840.0,229926.0,234946.0,226959.0,243737.0
Alvarães (AM),30812,31030,32142,34593,41015,45151,48675,49584,58365,81418,78121,90875.0,107773.0,102360.0,144685.0,159083.0,170089.0,196154.0,194568.0
Amaturá (AM),12273,13675,15319,16976,20294,23399,27894,29500,36941,47891,51061,59861.0,63736.0,66484.0,66265.0,80805.0,83447.0,95436.0,101978.0
Anamã (AM),17877,19131,20538,19460,23551,29780,48130,47993,51913,71971,67764,84387.0,86080.0,83655.0,96390.0,108163.0,116719.0,125494.0,129932.0
Anori (AM),26340,26967,29177,29959,35862,40559,51885,56943,64424,180211,137499,153867.0,168967.0,154630.0,179711.0,192984.0,218807.0,200709.0,215147.0
Apuí (AM),38007,42609,51888,57342,81706,73073,102637,91193,104518,129519,136498,157858.0,193061.0,206200.0,192352.0,193492.0,209970.0,252677.0,272114.0
Atalaia do Norte (AM),20205,21595,21852,24407,28991,36784,43654,49616,68896,78879,84683,95743.0,124922.0,143243.0,165713.0,141205.0,143057.0,150688.0,172761.0
Autazes (AM),76039,83112,93773,85256,96788,96630,99638,109369,154785,173295,177215,197961.0,239017.0,265111.0,289804.0,328193.0,356934.0,388848.0,446910.0
Barcelos (AM),34279,42113,48313,54046,68272,65897,72054,74518,93663,113866,121659,134364.0,147980.0,151620.0,157854.0,160672.0,168626.0,189996.0,208512.0
Barreirinha (AM),42638,44625,49308,55128,77540,74522,85630,97120,117983,136698,158179,196999.0,210559.0,200195.0,224109.0,239721.0,259291.0,286580.0,313543.0
Benjamin Constant (AM),57998,61607,71803,71757,77148,88339,99144,110779,137141,170816,182718,236931.0,270635.0,245147.0,271447.0,280086.0,310751.0,347115.0,349342.0
Beruri (AM),23694,26325,28561,30776,35478,40791,43560,54381,74008,88594,88502,107968.0,120988.0,125637.0,124199.0,141498.0,151805.0,169892.0,182220.0
Boa Vista do Ramos (AM),17068,19695,21744,27945,31626,32412,60824,66987,55076,69953,82357,100001.0,98384.0,101807.0,110655.0,125739.0,140055.0,146215.0,161512.0
Boca do Acre (AM),59575,75733,87539,105057,117492,117639,125583,125628,151889,189565,209052,236629.0,277842.0,286360.0,328570.0,365383.0,415766.0,444283.0,475900.0
Borba (AM),79903,66270,71896,74003,87129,88509,100248,110687,156532,212851,212496,236239.0,254923.0,260752.0,270980.0,296371.0,304755.0,330380.0,361504.0
Caapiranga (AM),35090,27914,29346,31566,36762,42114,44360,48983,66861,91814,94805,111291.0,130604.0,135541.0,145057.0,142346.0,156561.0,168773.0,170630.0
Canutama (AM),17773,18634,21200,24059,31590,43589,40008,40741,49394,64005,70361,81427.0,88213.0,88114.0,99109.0,103082.0,107991.0,121948.0,133412.0
Carauari (AM),75825,71798,73245,76203,89415,89062,97770,108390,129697,169945,161914,214486.0,235646.0,251054.0,270919.0,286003.0,307070.0,336549.0,358947.0
Careiro (AM),66630,70375,67763,63630,74157,88773,94912,110566,143727,164045,171485,193802.0,217517.0,247025.0,250074.0,272854.0,314629.0,340672.0,363553.0
Careiro da Várzea (AM),160412,163506,63423,150752,103909,125513,103169,111867,188023,240114,202958,234401.0,241431.0,269183.0,295991.0,313356.0,337463.0,318688.0,374141.0
Coari (AM),867190,1025923,1254629,1550648,1929651,1838036,2224643,1536068,1998793,3284130,4207961,4558712.0,3105211.0,2261617.0,1170225.0,1322937.0,2018615.0,2253992.0,1923312.0
Codajás (AM),62901,47249,48936,52760,81530,84208,85222,82985,120603,484044,446417,492322.0,651855.0,742360.0,651453.0,464273.0,501935.0,505889.0,498998.0
Eirunepé (AM),59045,59180,62218,85305,110937,87343,104480,125231,151777,196566,282975,340332.0,382850.0,403200.0,398027.0,434006.0,518216.0,478814.0,503011.0
Envira (AM),29073,33834,31110,36300,40717,46675,55309,58939,71690,87440,113710,116857.0,124880.0,129131.0,142361.0,148766.0,157794.0,172414.0,178196.0
Fonte Boa (AM),66630,69977,71222,73506,86996,71916,77112,79687,95662,116023,122127,132637.0,151621.0,156442.0,151641.0,167593.0,180667.0,181680.0,197082.0
Guajará (AM),26050,27219,27194,29210,34086,40540,46916,49026,51646,63044,77468,92709.0,100262.0,106588.0,111353.0,115995.0,123681.0,130114.0,147404.0
Humaitá (AM),63209,74487,88471,102526,112992,136975,150044,178078,217550,288715,307585,367181.0,422861.0,450582.0,482341.0,556079.0,621322.0,721855.0,780803.0
Ipixuna (AM),24117,26487,28768,33231,42097,41618,50770,55894,69654,76808,84610,106738.0,112260.0,120605.0,126316.0,139916.0,152316.0,177141.0,193678.0
Iranduba (AM),107620,115480,116577,133741,148409,170675,181485,213322,306446,382724,382669,481446.0,529533.0,627693.0,625010.0,697064.0,678368.0,691801.0,728072.0
Itacoatiara (AM),253402,273672,453744,434860,481188,576409,616318,736420,849637,1123370,1310792,1440639.0,1591040.0,1762125.0,1891522.0,1979493.0,1882624.0,2070851.0,2273856.0
Itamarati (AM),17240,18704,18104,20602,23612,25493,28452,29854,42985,53569,57651,73384.0,75976.0,79330.0,84732.0,93869.0,95522.0,99805.0,107511.0
Itapiranga (AM),17608,21158,25596,31369,28419,35815,34687,37666,82029,97911,88902,68872.0,80542.0,80512.0,102310.0,107713.0,111075.0,129499.0,134222.0
Japurá (AM),13798,17197,19342,22714,25694,16768,19538,20124,32590,44743,45849,50959.0,58162.0,60551.0,59570.0,61997.0,63038.0,65857.0,63134.0
Juruá (AM),13437,15373,16970,19939,23859,26707,30445,29567,48747,60860,78582,84513.0,84834.0,90422.0,89823.0,99877.0,104579.0,115621.0,122261.0
Jutaí (AM),49342,57776,60337,62692,72952,62341,64232,68914,89745,112561,137652,180234.0,182212.0,196731.0,197969.0,218569.0,224322.0,230654.0,252836.0
Lábrea (AM),55950,59625,63590,75482,92165,133471,181046,203744,205325,246871,318288,380687.0,368576.0,390961.0,449071.0,495747.0,493720.0,500460.0,555876.0
Manacapuru (AM),320547,357289,392538,293279,352530,371972,436548,520001,647440,889481,853165,1229929.0,1264411.0,1414754.0,1316860.0,1526357.0,1428780.0,1502525.0,1432602.0
Manaquiri (AM),29247,34425,36683,40744,46742,57657,65198,75950,124714,175844,157440,182257.0,206792.0,231559.0,250252.0,236248.0,275567.0,259773.0,274502.0
Manaus (AM),17756163,21120203,25723023,28001494,32770015,36053012,39691574,42070173,50168821,55528640,55551838,63829864.0,67418894.0,67076904.0,70234306.0,73225449.0,78155386.0,84566043.0,91768773.0
Manicoré (AM),85249,94968,94822,129173,126686,138509,166538,185465,251450,330199,374855,400950.0,459510.0,492408.0,476291.0,495881.0,529374.0,560803.0,621351.0
Maraã (AM),30070,39080,39771,39080,47061,50333,62085,66072,65054,82098,85760,96880.0,117725.0,122658.0,141135.0,153885.0,129463.0,140342.0,148833.0
Maués (AM),71396,81436,94317,111377,128342,167198,208429,221452,271611,301987,297319,360983.0,389379.0,380954.0,410786.0,459063.0,502004.0,551175.0,566046.0
Nhamundá (AM),28545,31226,33692,42473,49514,53949,58411,63446,69664,86306,106711,128950.0,121117.0,123219.0,135685.0,142267.0,152077.0,168137.0,185703.0
Nova Olinda do Norte (AM),41191,45946,50067,52853,63271,72219,86399,97315,128637,169383,152005,157883.0,187770.0,195941.0,212324.0,234351.0,247214.0,278282.0,293963.0
Novo Airão (AM),17887,19153,21178,21836,23219,41027,45574,57216,73846,73078,77207,92626.0,112457.0,117037.0,126322.0,131745.0,136543.0,172501.0,174377.0
Novo Aripuanã (AM),33892,38993,41525,41589,167364,113608,71216,79048,78084,116017,109590,140185.0,149447.0,157337.0,170246.0,183334.0,200293.0,212575.0,219610.0
Parintins (AM),271105,252505,272566,302521,370426,352385,407811,456492,578337,770401,811867,1010620.0,975798.0,949020.0,1027340.0,1092155.0,1123079.0,1225444.0,1320760.0
Pauini (AM),26925,30718,32704,37470,44324,46108,53561,59066,76686,98729,97520,108044.0,136558.0,139060.0,142491.0,150838.0,157104.0,163873.0,175118.0
Presidente Figueiredo (AM),91287,135929,197855,185903,214652,203992,224107,251658,314535,559052,590572,722104.0,662828.0,761204.0,547295.0,445555.0,823936.0,956464.0,829590.0
Rio Preto da Eva (AM),68626,79374,86078,96151,110636,118733,122999,141313,193863,268716,318300,326203.0,370897.0,444180.0,446859.0,384152.0,382992.0,439400.0,374582.0
Santa Isabel do Rio Negro (AM),17829,17942,19810,18640,23314,36434,45895,50008,65376,87398,86265,104748.0,123219.0,155313.0,127341.0,122726.0,138110.0,150012.0,157255.0
Santo Antônio do Içá (AM),41918,44218,48803,54871,66047,61383,70999,79789,83501,98262,107787,126286.0,146110.0,149509.0,163636.0,172833.0,181771.0,191909.0,208668.0
São Gabriel da Cachoeira (AM),58797,62110,73284,87632,94560,112743,141440,166427,162583,181582,187652,216457.0,257234.0,265932.0,284030.0,314682.0,331771.0,349719.0,376615.0
São Paulo de Olivença (AM),41157,44831,49851,53839,63397,70572,81699,91979,108879,129553,142979,172810.0,190870.0,193791.0,206312.0,235478.0,251748.0,280976.0,302142.0
São Sebastião do Uatumã (AM),12602,13681,14953,16860,21461,24213,26590,29353,42613,55372,60508,73866.0,84210.0,84630.0,93403.0,101297.0,117748.0,121771.0,127921.0
