Município,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Conselheiro Mairinck (PR),21024,20714,23245,23367,25687,27803,37756,33969,41669,47007,56337,65808.0,75007.0,87991.0,101893.0,98950.0,95138.0,104415.0,118003.0
Contenda (PR),65397,99176,119787,114562,122852,150189,151581,166849,161618,188713,192679,243716.0,251061.0,302771.0,344422.0,379695.0,400387.0,403117.0,450058.0
Corbélia (PR),124266,174542,173709,170465,168072,246433,270365,263987,294603,346657,392344,498800.0,525107.0,574669.0,610062.0,579112.0,609700.0,675075.0,1031216.0
Cornélio Procópio (PR),382728,482213,505451,497125,535805,610362,648056,701742,753182,883106,1002947,1194402.0,1242152.0,1375904.0,1407159.0,1448122.0,1546917.0,1688570.0,1749596.0
Coronel Domingos Soares (PR),40966,53691,60763,56965,62221,69556,79884,77207,83953,98168,113038,135137.0,145453.0,149912.0,172179.0,175458.0,195888.0,192986.0,229582.0
Coronel Vivida (PR),114255,160215,174512,156972,178231,203293,254152,266057,274170,337933,340525,478385.0,514794.0,565710.0,623252.0,626916.0,686251.0,673493.0,729194.0
Corumbataí do Sul (PR),15680,18976,22876,20652,21496,25595,30755,28082,39416,46247,46431,52344.0,53578.0,59574.0,61732.0,67010.0,65979.0,62443.0,82029.0
Cruzeiro do Iguaçu (PR),23792,31721,34927,34535,32970,40743,46200,50521,62298,72764,67467,86945.0,88352.0,101584.0,110310.0,113424.0,114154.0,114728.0,154841.0
Cruzeiro do Oeste (PR),72427,99286,112292,122009,138007,158612,184711,236974,283645,327369,406369,487091.0,583840.0,598793.0,665721.0,778291.0,829813.0,839529.0,832111.0
Cruzeiro do Sul (PR),44390,59895,52043,53615,54962,65053,81342,86662,99053,108368,110674,144384.0,135717.0,142848.0,180608.0,198725.0,185321.0,173843.0,197191.0
Cruz Machado (PR),86651,97693,107439,112021,128696,136141,150627,132666,170751,200745,209562,272110.0,325593.0,295276.0,305356.0,344124.0,368290.0,374376.0,441263.0
Cruzmaltina (PR),26035,38507,38115,28942,27293,33040,45869,38831,47114,66004,64484,85509.0,88199.0,98799.0,95379.0,103879.0,113191.0,112777.0,160516.0
Curitiba (PR),21356141,25683366,29059864,31477357,34533840,42024553,46774458,50132586,58122788,65924883,70637709,79767473.0,81198399.0,83856186.0,83746837.0,84726398.0,87151907.0,96113599.0,88308728.0
Curiúva (PR),56334,81699,74604,89158,91076,93194,103793,100978,119048,140809,144724,161058.0,175813.0,195880.0,228672.0,226032.0,232321.0,222829.0,232004.0
Diamante do Norte (PR),91831,94945,96209,100692,116219,124307,125801,155674,158639,178938,211415,244130.0,204644.0,251994.0,314651.0,306233.0,349703.0,316890.0,397877.0
Diamante do Sul (PR),11527,16535,15469,16305,15425,19623,24947,23666,26113,36768,34185,39850.0,42362.0,44941.0,51885.0,53975.0,53982.0,55938.0,69556.0
Diamante D'Oeste (PR),20037,29046,30969,33886,30023,42228,49395,46871,51253,56693,66340,85003.0,91287.0,96796.0,102276.0,96882.0,99991.0,103450.0,112942.0
Dois Vizinhos (PR),255768,370888,415485,444862,447751,536604,584750,655868,682627,793739,844237,1069499.0,1182237.0,1311221.0,1482915.0,1510218.0,1587172.0,1676953.0,1796592.0
Douradina (PR),55499,78756,91305,91512,99603,159850,142708,172663,293943,319672,347303,405057.0,431897.0,442172.0,490903.0,525287.0,592071.0,635549.0,677072.0
Doutor Camargo (PR),35801,45997,51151,46301,45202,59423,68799,59759,70644,84388,98608,115193.0,122716.0,135021.0,151396.0,148999.0,154698.0,165475.0,218827.0
Enéas Marques (PR),40831,50695,58300,63797,61642,69276,82584,92340,104816,113678,120619,152714.0,159558.0,180359.0,218440.0,234419.0,220808.0,216294.0,244615.0
Engenheiro Beltrão (PR),119052,151450,148723,127533,139815,158043,226460,206723,210957,269787,277914,338471.0,334692.0,388134.0,396817.0,419622.0,563794.0,465637.0,553562.0
Esperança Nova (PR),8784,11771,12939,12196,12949,12822,16141,17184,19059,22672,24859,29444.0,30425.0,34231.0,44421.0,41419.0,49445.0,53037.0,61827.0
Entre Rios do Oeste (PR),30729,42639,41146,41495,42520,54042,66494,59702,82184,95967,109257,141293.0,185343.0,198241.0,221212.0,226495.0,228066.0,239680.0,292787.0
Espigão Alto do Iguaçu (PR),24312,34873,39024,35164,32199,42041,50848,47542,50146,58534,64880,84924.0,89378.0,96062.0,118404.0,110565.0,114791.0,119763.0,160154.0
Farol (PR),44613,56281,54211,39658,39513,52896,75530,65335,63426,84040,85046,114578.0,121865.0,125667.0,147104.0,138858.0,157736.0,131333.0,217147.0
Faxinal (PR),76768,105551,116327,108542,117284,143714,182748,209288,200521,247965,274495,348065.0,327147.0,362350.0,413669.0,414098.0,425379.0,450886.0,471622.0
Fazenda Rio Grande (PR),283253,360645,433062,428149,495199,507279,492608,542682,706289,848805,968330,1325511.0,1586646.0,1758886.0,2066526.0,2382277.0,2518919.0,2503498.0,2771416.0
Fênix (PR),37989,46579,50100,45320,47500,52289,67981,68314,60156,81115,87638,113276.0,114859.0,119161.0,138369.0,134772.0,149432.0,144588.0,212031.0
Fernandes Pinheiro (PR),37413,47581,51049,48735,38953,46868,65190,54067,66651,83016,97335,122779.0,132342.0,134957.0,151239.0,174123.0,177611.0,186597.0,225376.0
Figueira (PR),38070,38807,47051,53261,57274,55722,56558,71403,77147,84912,101862,100952.0,107447.0,126180.0,144667.0,151807.0,149611.0,134772.0,138404.0
Floraí (PR),43278,62866,56509,56140,55108,64777,82923,81227,113417,119948,125313,142536.0,147246.0,148255.0,157988.0,152945.0,176373.0,182875.0,234246.0
Flor da Serra do Sul (PR),27443,36670,37967,38619,36861,46501,57383,55409,61702,72559,68964,87103.0,97238.0,97819.0,120599.0,118348.0,124645.0,120388.0,152377.0
Floresta (PR),39199,49199,52863,44599,43224,56516,66949,62728,73709,96703,102880,130413.0,138454.0,151877.0,180639.0,200914.0,207190.0,191567.0,261778.0
Florestópolis (PR),46666,57148,66820,58104,72291,78317,75785,82440,106855,125826,134685,170528.0,192295.0,209766.0,228214.0,269200.0,248800.0,254250.0,469372.0
Flórida (PR),14071,17277,18102,18760,18595,17784,22157,23802,25907,30883,34306,41075.0,42951.0,50064.0,56418.0,59428.0,60533.0,58756.0,75520.0
Formosa do Oeste (PR),40800,55262,54360,54148,51647,71528,77585,91282,105263,121189,133285,195096.0,210142.0,234735.0,276115.0,276374.0,267756.0,279538.0,313395.0
Foz do Iguaçu (PR),3566714,3757497,4267579,4591778,5608714,5810664,5836500,6342755,6245513,6693604,8219301,9089483.0,9218214.0,12000677.0,13550781.0,13468176.0,14675747.0,15769782.0,17883003.0
Francisco Alves (PR),26330,48303,50211,42089,36870,56313,64764,57342,75417,84272,85886,128905.0,128638.0,148392.0,182433.0,179859.0,195962.0,167072.0,241414.0
Francisco Beltrão (PR),467689,583283,669114,718262,766126,922753,1030327,1213783,1299820,1484305,1740333,2068865.0,2424438.0,2622016.0,2843646.0,3070112.0,3189323.0,3292226.0,3193227.0
Foz do Jordão (PR),27605,33353,36340,33569,34547,40051,45078,51130,49247,61665,67967,86159.0,82658.0,87248.0,104880.0,102751.0,122665.0,123663.0,171347.0
General Carneiro (PR),96141,102678,124523,143188,137291,153215,196676,175500,233624,215308,224658,243431.0,267340.0,269134.0,295214.0,344769.0,287250.0,303957.0,357997.0
Godoy Moreira (PR),10852,14057,15050,15216,15548,17375,22366,23275,25301,30416,37367,37594.0,40851.0,44654.0,43547.0,51122.0,51957.0,51727.0,64834.0
Goioerê (PR),183587,238378,251933,226744,244772,287218,340093,326420,391232,447404,520084,629339.0,676921.0,718820.0,776716.0,815651.0,902916.0,885730.0,1019367.0
Goioxim (PR),36946,44711,48990,45777,46451,53530,70538,75179,68346,84024,97567,138187.0,144109.0,140839.0,164749.0,164404.0,181186.0,176874.0,282538.0
Grandes Rios (PR),28550,36944,38572,39686,44177,43440,54433,55817,60289,80135,80650,87734.0,89450.0,112550.0,118413.0,123118.0,121156.0,117374.0,137731.0
Guaíra (PR),174861,252672,254300,257112,239912,332897,374316,332882,391299,492009,538135,697818.0,745868.0,774688.0,897505.0,877011.0,936620.0,965290.0,1127365.0
Guairaçá (PR),32770,43620,48832,38896,44737,62887,59962,75881,79132,114328,136473,156344.0,161542.0,179591.0,187203.0,296262.0,227186.0,244917.0,247094.0
Guamiranga (PR),33570,49646,59903,59302,56086,58173,75590,71242,120242,128959,144191,161739.0,179626.0,184837.0,192563.0,260973.0,240888.0,234324.0,268374.0
Guapirama (PR),29418,32758,26506,24032,24062,31020,40951,40431,48321,55889,67458,88796.0,83374.0,99545.0,111673.0,101104.0,102614.0,103978.0,138827.0
Guaporema (PR),12654,17950,17844,17909,20842,25120,28227,29423,30159,35196,41176,46636.0,48194.0,47403.0,54084.0,57117.0,56056.0,65872.0,72307.0
Guaraci (PR),19022,24219,26816,24821,24855,32396,32852,37763,47888,59947,72710,82353.0,89387.0,102131.0,105060.0,111438.0,106304.0,127002.0,148115.0
Guaraniaçu (PR),85253,116652,129675,122977,117999,154939,180211,165905,177252,208887,215038,260114.0,289089.0,317315.0,349065.0,340742.0,353717.0,369105.0,471309.0
Guarapuava (PR),1043406,1414696,1613752,1618878,1689411,2038658,2130899,2243906,2507593,2913277,3439875,4139712.0,4428627.0,4776925.0,5239647.0,5608156.0,6115717.0,6106298.0,7515223.0
Guaraqueçaba (PR),20780,24278,24034,28902,28078,31333,35399,37527,58542,53427,62033,69176.0,71892.0,78581.0,103789.0,106917.0,111742.0,105611.0,113509.0
Guaratuba (PR),164779,213745,199456,216643,299083,295285,273033,317576,341184,369807,431071,511962.0,565881.0,632777.0,750497.0,762731.0,797374.0,874518.0,883637.0
Honório Serpa (PR),48598,67198,71466,75404,58804,73699,92525,97840,90419,108554,104610,149522.0,153548.0,163183.0,179415.0,189557.0,214381.0,196349.0,237381.0
Ibaiti (PR),118451,137684,178693,176593,205180,243253,284497,274307,315949,414148,400854,465362.0,498772.0,564137.0,584908.0,649368.0,678611.0,696791.0,770766.0
Ibema (PR),35180,49384,57997,51042,53995,67080,67235,68226,69925,74811,83469,112884.0,116906.0,126719.0,137865.0,134499.0,165628.0,147430.0,168622.0
Ibiporã (PR),338252,446203,509084,551114,624121,785876,875779,1144655,1161946,1265943,1560442,1987900.0,2174328.0,2603871.0,2318664.0,2438394.0,2441378.0,2767291.0,2658812.0
Icaraíma (PR),40200,51981,58266,59700,62917,67333,75871,84999,95829,111923,139915,156974.0,170968.0,178110.0,201014.0,223972.0,232807.0,222623.0,258088.0
Iguaraçu (PR),28863,38309,41319,40146,38955,49570,58191,48867,83176,86631,114053,122954.0,113503.0,135914.0,134447.0,140661.0,148272.0,162750.0,183362.0
Iguatu (PR),16491,27714,30518,24876,23746,32534,35238,31536,39311,44643,51149,63543.0,62352.0,58333.0,62182.0,56346.0,61965.0,62818.0,91613.0
Imbaú (PR),37354,52967,47693,61518,58917,69138,83001,76477,113420,112614,116860,126336.0,135491.0,177066.0,204865.0,214631.0,224807.0,217124.0,228709.0
Imbituva (PR),156491,209446,252459,215413,237880,253013,275156,271488,350543,414975,465292,555034.0,642903.0,692737.0,724225.0,823304.0,895454.0,868252.0,1045933.0
Inácio Martins (PR),41596,49801,52894,102024,66909,74449,84767,79923,94409,88225,99217,131708.0,127703.0,143757.0,158243.0,176278.0,191267.0,172869.0,235036.0
Inajá (PR),13354,15995,17442,19313,21115,21716,24173,25270,30314,35771,34883,39758.0,38412.0,40830.0,53997.0,57125.0,50177.0,58154.0,51835.0
Indianópolis (PR),26124,35998,41456,47566,48535,55078,80925,99746,116520,202499,228785,270488.0,355317.0,387373.0,503037.0,535410.0,514800.0,529850.0,467160.0
Ipiranga (PR),82566,107087,125070,133322,131643,158281,171283,180482,240239,242269,297368,367078.0,382504.0,386694.0,395488.0,468384.0,503915.0,467595.0,568980.0
Iporã (PR),64023,90052,94952,94639,95035,113606,139344,142513,172945,193273,204626,286811.0,292597.0,332214.0,359580.0,454511.0,366755.0,352409.0,443046.0
Iracema do Oeste (PR),17242,20151,22325,21586,20292,23971,33051,32128,37316,49543,44554,66729.0,64151.0,65652.0,75375.0,75409.0,82535.0,77078.0,90392.0
Irati (PR),301978,356405,408128,432172,476005,582993,665446,740934,785302,925016,1078521,1319024.0,1385060.0,1482283.0,1573411.0,1787464.0,1827639.0,1902781.0,2047623.0
Iretama (PR),45067,54968,57355,56913,58791,69557,84223,82702,96856,112056,142616,170264.0,203364.0,211578.0,227119.0,238642.0,257199.0,274528.0,303133.0
Itaguajé (PR),18007,23456,22501,23306,26218,26203,32066,40670,44444,51042,58342,64232.0,65591.0,79622.0,93198.0,102121.0,97906.0,95211.0,113339.0
Itaipulândia (PR),52757,76377,83222,80370,88270,95436,117337,102826,135588,176161,191960,246877.0,280265.0,300805.0,360916.0,347858.0,359661.0,374838.0,453633.0
Itambaracá (PR),36399,52722,54119,39704,41683,54816,62974,64744,72057,83727,104259,116744.0,103126.0,120607.0,135464.0,136579.0,161119.0,157884.0,203916.0
Itambé (PR),54363,71479,74269,59283,57998,70226,85461,84567,83082,112011,114140,140717.0,144450.0,155558.0,171257.0,180219.0,189666.0,174411.0,244775.0
Itapejara d'Oeste (PR),63009,89552,100998,95292,99158,124064,150185,159775,160129,201689,211679,289824.0,345604.0,381875.0,479580.0,531626.0,615413.0,535653.0,699177.0
Itaperuçu (PR),76407,90986,110857,115473,114230,156423,237694,251175,284595,330639,395105,414739.0,432708.0,411118.0,452148.0,428833.0,507855.0,515862.0,573679.0
Itaúna do Sul (PR),13956,17629,17637,18235,18396,21897,24276,26960,30756,39402,43174,53247.0,59824.0,66012.0,71026.0,76725.0,75773.0,77257.0,84426.0
Ivaí (PR),58817,83986,85151,88564,100683,117550,142370,127658,198694,207762,228475,245495.0,222375.0,270966.0,283522.0,375827.0,375808.0,370477.0,468418.0
Ivaiporã (PR),161392,198911,210173,216746,243593,260702,317721,344015,359655,392878,470288,567863.0,600553.0,660983.0,707313.0,755412.0,820510.0,832002.0,862917.0
Ivaté (PR),40094,65156,69505,70995,73814,86581,88480,104411,102906,134830,143046,153131.0,175052.0,171168.0,193852.0,187391.0,195702.0,201593.0,202615.0
Ivatuba (PR),27144,35307,37435,36297,29677,34601,43212,36937,41864,55160,64374,79524.0,78742.0,88278.0,106529.0,102601.0,111787.0,113110.0,140323.0
Jaboti (PR),15763,18874,22190,23433,26777,28033,33626,35848,39389,51197,52625,62905.0,69546.0,78355.0,85867.0,92383.0,108176.0,109094.0,124235.0
Jacarezinho (PR),256752,305595,324539,340004,352630,373537,399637,471937,541342,640221,711950,821339.0,890867.0,1031151.0,1145170.0,1179177.0,1358246.0,1276678.0,1430558.0
Jaguapitã (PR),73703,104548,127254,137357,146375,179968,163348,197295,316109,355049,388482,484159.0,592786.0,633634.0,730167.0,774806.0,781434.0,808537.0,927457.0
Jaguariaíva (PR),417667,555448,668327,648739,671586,735762,686227,686860,703646,755152,868969,990208.0,1189962.0,1287949.0,1389981.0,1423261.0,1480457.0,1489134.0,1416226.0
Jandaia do Sul (PR),124261,156013,177647,185866,228437,228527,240059,262514,359275,453611,573356,651734.0,634924.0,548273.0,595817.0,657383.0,677896.0,769199.0,766271.0
Janiópolis (PR),45877,62514,60486,53511,46911,53009,89755,88848,81444,91117,101289,138402.0,135891.0,141430.0,167000.0,147095.0,159098.0,155432.0,250314.0
Japira (PR),14457,17517,23337,25226,28033,27848,38271,40438,49774,62465,72420,77783.0,71836.0,88481.0,98640.0,101096.0,101171.0,105232.0,117226.0
Japurá (PR),41820,58723,62881,62228,64438,73600,72681,74659,90755,105097,120312,170382.0,155532.0,184148.0,205088.0,232020.0,251373.0,235546.0,312735.0
Jardim Alegre (PR),49704,64238,65205,64352,68309,80303,98530,92830,108289,121619,147856,185225.0,198344.0,210570.0,229952.0,251007.0,252472.0,270848.0,323139.0
Jardim Olinda (PR),7248,9825,9605,8246,8547,10405,16216,23472,21546,25999,25453,28271.0,28210.0,33319.0,36110.0,42287.0,42139.0,39877.0,46178.0
Jataizinho (PR),47180,59077,69933,67462,70508,78855,83363,81411,114567,129181,143479,157845.0,191310.0,186501.0,193582.0,186451.0,191106.0,225889.0,247006.0
Jesuítas (PR),48504,61485,70165,62925,67120,75266,108551,100548,129501,165871,157326,204731.0,246040.0,265592.0,318590.0,332176.0,344674.0,318895.0,391411.0
Joaquim Távora (PR),47289,64343,78145,89143,91439,119709,118924,151641,200959,229615,264337,333951.0,413396.0,467565.0,525381.0,608259.0,587432.0,580146.0,653159.0
Jundiaí do Sul (PR),16156,21547,25554,22959,22865,26604,37312,35219,40461,51781,59625,68126.0,59897.0,87743.0,97995.0,90421.0,74507.0,80485.0,114580.0
Juranda (PR),68855,108338,105902,94802,96587,102703,164456,126474,146631,173495,201474,252127.0,270212.0,287903.0,334602.0,306190.0,339023.0,313460.0,400997.0
Jussara (PR),48177,76102,85139,71080,85797,97410,101190,110418,90765,103079,132647,146480.0,177567.0,199505.0,213421.0,214042.0,224502.0,224307.0,371340.0
Kaloré (PR),25822,34443,40038,31252,30766,45604,50830,43968,45320,56926,66433,103398.0,88132.0,99448.0,94006.0,108470.0,113239.0,112831.0,145864.0
Lapa (PR),284097,367597,382717,403606,417849,500186,596040,552093,755220,850535,986354,1164949.0,1242248.0,1399892.0,1743396.0,1879313.0,1642849.0,1803988.0,2026467.0
Laranjal (PR),17297,20559,22572,24201,26637,28960,36141,38720,40100,48834,54575,62215.0,68367.0,76475.0,82688.0,84016.0,82465.0,84472.0,100887.0
Laranjeiras do Sul (PR),136238,180266,183125,192276,208342,228681,266794,287076,293246,341210,382197,494348.0,584811.0,637589.0,694197.0,730298.0,773744.0,789610.0,888891.0
Leópolis (PR),33296,56090,56003,40661,34864,50281,71409,52288,61658,76389,78950,107796.0,84213.0,106121.0,119548.0,123818.0,150448.0,138050.0,187857.0
Lidianópolis (PR),19950,23903,25661,23247,22040,27662,37586,34050,36161,45637,52731,54397.0,57391.0,67928.0,78866.0,81168.0,84369.0,84086.0,112505.0
Lindoeste (PR),30828,40156,43653,44489,48166,56672,71979,65921,81330,90213,106294,133152.0,160649.0,161875.0,170546.0,146182.0,163511.0,167097.0,186719.0
Loanda (PR),90090,113766,123279,126769,133515,145259,170686,196574,225063,261667,339525,385866.0,440811.0,462351.0,494348.0,534841.0,574298.0,593795.0,656771.0
Lobato (PR),52120,64983,67121,70158,77967,82730,91079,108277,101348,120291,126169,138025.0,128463.0,152259.0,176927.0,183164.0,184622.0,184281.0,226212.0
Londrina (PR),4511368,5484039,5918952,5979035,6534247,8216205,8804024,9544221,10822983,12534094,14769050,15972080.0,16455810.0,17748394.0,18474866.0,19240582.0,19953188.0,21591521.0,21729852.0
Luiziana (PR),96159,114262,119660,95567,100405,119769,158994,146258,130020,158931,201358,244950.0,259424.0,254081.0,241151.0,260252.0,328001.0,314183.0,499505.0
Lunardelli (PR),22313,26505,29696,28173,28450,33472,40580,39917,43656,48763,57987,61734.0,59808.0,69780.0,73886.0,86321.0,88693.0,90149.0,117449.0
Lupionópolis (PR),15564,18921,19824,34925,38133,39494,45785,46693,43303,58546,64395,72341.0,72087.0,85377.0,92174.0,104032.0,102407.0,98164.0,126205.0
Mallet (PR),82831,117713,129607,139010,135762,147840,188372,200677,255466,304565,336569,394365.0,491360.0,523441.0,603288.0,657674.0,710315.0,690595.0,694573.0
Mamborê (PR),143487,194259,190512,167362,171156,201707,267098,253364,256088,318752,349247,433727.0,458864.0,472485.0,527900.0,495060.0,544171.0,561743.0,787180.0
Mandaguaçu (PR),81719,105454,110454,112517,129310,151681,180167,217984,238054,277615,324473,382384.0,410548.0,461055.0,505550.0,547492.0,557908.0,622340.0,616778.0
Mandaguari (PR),183819,237106,283607,327571,384342,404439,467525,491726,546370,615088,709724,875605.0,1059368.0,1166066.0,1333703.0,1540899.0,1565381.0,1494797.0,1687442.0
Mandirituba (PR),147348,185217,198146,211890,215307,228504,285084,300500,353925,394242,437307,505607.0,551042.0,550873.0,548344.0,587530.0,613105.0,609836.0,607967.0
Manfrinópolis (PR),13423,16609,18276,20916,18872,24486,26929,27377,32166,34405,34260,45093.0,45948.0,47863.0,54507.0,55233.0,52597.0,55587.0,72696.0
Mangueirinha (PR),366564,366168,428168,418600,363793,588197,635608,613416,710548,788548,1031979,1095882.0,829332.0,1079062.0,1697492.0,1315798.0,1346000.0,1460377.0,1561955.0
Manoel Ribas (PR),66195,92822,95096,83628,89356,105073,137401,139316,145130,178898,209933,277377.0,297188.0,300296.0,357316.0,314768.0,379306.0,371064.0,459885.0
Marechal Cândido Rondon (PR),381151,510029,518163,543514,601030,676254,809889,759991,983589,1149861,1246970,1499246.0,1709957.0,1831241.0,2078276.0,2199548.0,2343102.0,2346316.0,2832322.0
Maria Helena (PR),48463,27403,29974,28207,28644,32257,35912,38031,43836,49510,58360,61690.0,68990.0,81057.0,102063.0,100274.0,108629.0,100070.0,129508.0
Marialva (PR),182808,205568,233578,237662,272219,316799,374885,410379,473453,619480,719721,903955.0,1042815.0,1296026.0,1373523.0,1447182.0,1481656.0,1495593.0,2035794.0
Marilândia do Sul (PR),70618,93455,105091,95732,97134,129717,152666,141393,150812,197762,235462,268027.0,224247.0,264223.0,267390.0,296149.0,333160.0,322327.0,391711.0
Marilena (PR),21935,27499,27122,26792,31282,28584,33465,44581,49950,54223,62437,75495.0,98451.0,105674.0,112315.0,126293.0,136692.0,150864.0,170944.0
Mariluz (PR),33675,48753,56317,52944,63216,60423,84276,76914,87827,104172,116685,151997.0,171036.0,170746.0,211710.0,209362.0,230264.0,209723.0,269866.0
Maringá (PR),2818129,3591636,4050535,4373020,4836034,5901646,6084912,7189246,8554968,9861066,11390307,13791017.0,14567226.0,15458008.0,16092130.0,16911587.0,18532464.0,19311240.0,20005630.0
Mariópolis (PR),42494,60405,72201,60505,60594,83205,97465,98365,104118,123576,134444,181096.0,194495.0,203074.0,236475.0,229880.0,281099.0,291005.0,371994.0
Maripá (PR),64018,93871,94215,83268,84556,117096,138467,127832,153456,180619,170617,270093.0,274440.0,294902.0,362267.0,330946.0,352145.0,341694.0,446707.0
Marmeleiro (PR),63466,94754,104807,94936,97116,124533,141796,149772,161985,178982,195976,274301.0,309571.0,355177.0,402245.0,428763.0,452934.0,424786.0,541287.0
Marquinho (PR),18330,25990,28759,29045,28324,30760,38522,37601,38354,38272,40482,54775.0,63976.0,69489.0,80734.0,76909.0,85622.0,82875.0,107535.0
Marumbi (PR),15593,22196,24667,23074,25261,29017,31994,34231,37557,42596,50277,59221.0,60794.0,62717.0,67709.0,75104.0,75919.0,80860.0,88401.0
Matelândia (PR),110900,155710,167947,169525,163363,191732,215961,226877,255255,317368,378736,508728.0,578493.0,654894.0,755066.0,862011.0,915025.0,844703.0,990822.0
Matinhos (PR),158445,197641,243113,312206,267940,270107,337534,284605,338140,366245,431798,524377.0,606808.0,882710.0,943946.0,746112.0,762297.0,793659.0,822623.0
Mato Rico (PR),17584,23115,22880,19731,22102,28921,36690,26373,32626,36584,43008,55166.0,63573.0,51499.0,76717.0,74191.0,80885.0,71765.0,98002.0
Mauá da Serra (PR),67942,112847,118818,115996,108767,118537,118461,121241,134129,165887,175353,208421.0,215645.0,230055.0,269649.0,279142.0,295064.0,308914.0,356943.0
Medianeira (PR),281921,384253,401818,416222,466648,548378,594903,646070,750258,916392,1034317,1265943.0,1382382.0,1482517.0,1673023.0,1823246.0,1929418.0,1953469.0,2067383.0
Mercedes (PR),34747,51584,47972,48055,49305,62280,82448,68356,85343,97244,107345,148043.0,160895.0,174409.0,199501.0,204880.0,216377.0,196924.0,247034.0
Mirador (PR),12433,17398,21346,17887,19651,30703,31906,36604,42447,60011,53578,55590.0,64717.0,87898.0,86805.0,81779.0,102339.0,101290.0,130115.0
Miraselva (PR),9583,11619,12511,13473,13605,15059,16525,18773,21080,21239,26964,28346.0,31908.0,35583.0,40175.0,44813.0,38671.0,40658.0,42731.0
Missal (PR),83033,120888,116850,117411,114024,140062,167502,145648,182213,208986,218358,298375.0,284576.0,298148.0,332207.0,319135.0,347180.0,364905.0,387496.0
Moreira Sales (PR),54260,77123,94843,86682,111826,111628,135913,135138,121908,147961,146113,181716.0,212310.0,232869.0,241522.0,291515.0,310221.0,299058.0,291460.0
Morretes (PR),61842,73402,75668,89215,96424,102728,111428,120937,143849,160316,191542,228537.0,230782.0,249660.0,301525.0,313365.0,334219.0,351341.0,370348.0
Munhoz de Melo (PR),19269,28431,27341,22741,22821,29762,37726,38756,42306,50934,58674,71181.0,70900.0,78970.0,84879.0,95857.0,95578.0,97320.0,128241.0
Nossa Senhora das Graças (PR),21370,27319,25524,24004,29239,28149,32783,33236,34115,44779,57312,58998.0,60380.0,60383.0,71995.0,73092.0,70640.0,74398.0,92777.0
Nova Aliança do Ivaí (PR),9086,11965,10999,10117,11418,13944,16070,17786,20065,25091,26277,30367.0,34504.0,35242.0,39036.0,45913.0,42150.0,41178.0,45828.0
Nova América da Colina (PR),19681,22985,28810,23546,26334,29977,38132,59883,42207,52792,53575,62175.0,58959.0,75354.0,85318.0,84460.0,74068.0,75792.0,95582.0
Nova Aurora (PR),107962,142082,142863,136110,134992,161225,203097,185674,204948,244826,282509,368512.0,400257.0,436605.0,520238.0,549259.0,625757.0,554968.0,744875.0
Nova Cantu (PR),42906,62997,58112,53138,53110,57536,82544,83069,76351,90052,116366,147779.0,161791.0,177111.0,196501.0,185195.0,200411.0,198557.0,307690.0
Nova Esperança (PR),136004,158330,170482,187650,217795,230265,271407,313973,383329,402564,438747,516695.0,566396.0,588983.0,659551.0,765045.0,727650.0,733771.0,859579.0
Nova Esperança do Sudoeste (PR),23383,32149,34310,35257,33479,45725,48049,50987,57213,66274,67688,75358.0,87943.0,97860.0,106243.0,109133.0,107791.0,112896.0,139497.0
Nova Fátima (PR),38143,52076,57506,50717,51975,60536,82502,65210,85004,111063,115948,141553.0,136311.0,183131.0,207537.0,298689.0,247542.0,215927.0,281462.0
Nova Laranjeiras (PR),41461,56140,58778,57223,61111,76605,92863,82033,86392,92546,103704,135041.0,156204.0,167397.0,196710.0,195951.0,203509.0,220812.0,253309.0
Nova Londrina (PR),66661,88457,92312,92343,94677,111781,128501,145351,168288,187352,200347,238771.0,252352.0,275823.0,303665.0,335402.0,317747.0,344913.0,397788.0
Nova Olímpia (PR),19335,24453,25977,27520,28810,33290,34859,36754,40305,41371,48432,57312.0,64786.0,67411.0,75152.0,79971.0,82511.0,91756.0,98658.0
Nova Santa Bárbara (PR),20120,24148,25673,22918,25623,25881,38089,34668,34019,38398,44339,56829.0,55715.0,67627.0,73077.0,77832.0,82995.0,81244.0,91693.0
Nova Santa Rosa (PR),52479,79997,79482,76704,72786,105846,127025,122861,142115,160773,174456,253008.0,276522.0,280637.0,310572.0,319493.0,327138.0,337611.0,427933.0
Nova Prata do Iguaçu (PR),55997,74532,79029,71141,76352,97357,114450,113439,136843,154451,168232,232966.0,241676.0,252323.0,303549.0,320145.0,327912.0,319572.0,389705.0
Nova Tebas (PR),25459,29814,31765,31499,32188,41005,54405,50514,50695,61294,73092,92458.0,102769.0,102227.0,124701.0,122961.0,132123.0,131120.0,162707.0
Novo Itacolomi (PR),10231,14851,15810,15338,16783,20241,26029,28453,29528,34877,40392,48234.0,50818.0,55145.0,60557.0,67257.0,66343.0,68189.0,83199.0
Ortigueira (PR),118876,151191,145350,151787,160639,195478,231951,226323,247677,286326,318898,414388.0,672203.0,978582.0,1218084.0,1791230.0,2177021.0,2900781.0,2719417.0
Ourizona (PR),26629,41238,41521,33384,28740,36807,45858,54299,49473,64684,72383,84315.0,85024.0,89160.0,97971.0,99135.0,106406.0,99045.0,150007.0
